,QUADRANT,MIN_LONG,MAX_LONG,MIN_LAT,MAX_LAT,MID_LAT,MID_LONG,NUM_PROPS,NUM_CRIMES,DIST_STATION,NUM_PEOPLE,CRIME_RATE
2015,2015,-71.1280323,-71.12418912,42.35875864,42.3620504,42.36040452,-71.12611071,13,0,1.4809195489340614,261,0.0
2016,2016,-71.12418912,-71.12034594,42.35875864,42.3620504,42.36040452,-71.12226753,7,0,1.6504789248929665,234,0.0
2017,2017,-71.12034594,-71.11650276,42.35875864,42.3620504,42.36040452,-71.11842435,5,0,1.8254038137721296,174,0.0
2018,2018,-71.11650276,-71.11265958,42.35875864,42.3620504,42.36040452,-71.11458117000001,0,0,2.0042898794448316,326,0.0
2019,2019,-71.11265958,-71.10881640000001,42.35875864,42.3620504,42.36040452,-71.11073799,0,0,1.93620972383055,577,0.0
2020,2020,-71.10881640000001,-71.10497322,42.35875864,42.3620504,42.36040452,-71.10689481,0,0,1.7545030653491438,190,0.0
2021,2021,-71.10497322,-71.10113004,42.35875864,42.3620504,42.36040452,-71.10305163000001,0,0,1.5762971647329667,264,0.0
2022,2022,-71.10113004,-71.09728686,42.35875864,42.3620504,42.36040452,-71.09920844999999,0,0,1.4029267011766986,298,0.0
2023,2023,-71.09728686,-71.09344368000001,42.35875864,42.3620504,42.36040452,-71.09536527,0,0,1.2364274101299004,282,0.0
2024,2024,-71.09344368000001,-71.0896005,42.35875864,42.3620504,42.36040452,-71.09152209000001,0,0,1.0799819375357465,393,0.0
2025,2025,-71.0896005,-71.08575732,42.35875864,42.3620504,42.36040452,-71.08767891,0,0,0.938630951243853,103,0.0
2026,2026,-71.08575732,-71.08191414000001,42.35875864,42.3620504,42.36040452,-71.08383573,0,468,0.8202158121323495,2524,0.18541996830427893
2027,2027,-71.08191414000001,-71.07807096,42.35875864,42.3620504,42.36040452,-71.07999255000001,0,322,0.7358931528480936,954,0.33752620545073375
2028,2028,-71.07807096,-71.07422778,42.35875864,42.3620504,42.36040452,-71.07614937,0,1152,0.698127722667458,1132,1.017667844522968
2029,2029,-71.07422778,-71.0703846,42.35875864,42.3620504,42.36040452,-71.07230619,1,856,0.6256714132649419,122,7.016393442622951
2030,2030,-71.0703846,-71.06654142000001,42.35875864,42.3620504,42.36040452,-71.06846301,10,731,0.43187834410482306,9,81.22222222222223
2031,2031,-71.06654142000001,-71.06269824,42.35875864,42.3620504,42.36040452,-71.06461983,612,12,0.24211176123000908,296,0.04054054054054054
2032,2032,-71.06269824,-71.05885506,42.35875864,42.3620504,42.36040452,-71.06077665000001,107,0,0.08810398717564276,18,0.0
2033,2033,-71.05885506,-71.05501188000001,42.35875864,42.3620504,42.36040452,-71.05693347,498,0,0.18425942938934023,0,inf
2034,2034,-71.05501188000001,-71.0511687,42.35875864,42.3620504,42.36040452,-71.05309029,1033,9,0.37038597277989094,0,inf
2035,2035,-71.0511687,-71.04732552,42.35875864,42.3620504,42.36040452,-71.04924711000001,287,105,0.5634403378473509,0,inf
2036,2036,-71.04732552,-71.04348234,42.35875864,42.3620504,42.36040452,-71.04540392999999,0,10,0.7581485809022046,0,inf
2037,2037,-71.04348234,-71.03963916000001,42.35875864,42.3620504,42.36040452,-71.04156075,0,0,0.751858945334316,0,inf
2038,2038,-71.03963916000001,-71.03579598,42.35875864,42.3620504,42.36040452,-71.03771757000001,0,0,0.7421259680454688,0,inf
2039,2039,-71.03579598,-71.0319528,42.35875864,42.3620504,42.36040452,-71.03387439,96,0,0.783098572085113,0,inf
2040,2040,-71.0319528,-71.02810962,42.35875864,42.3620504,42.36040452,-71.03003121,153,0,0.8676227009615048,0,inf
2041,2041,-71.02810962,-71.02426644,42.35875864,42.3620504,42.36040452,-71.02618803,1,0,0.9845447027575978,82,0.0
2042,2042,-71.02426644,-71.02042326,42.35875864,42.3620504,42.36040452,-71.02234485,0,0,1.1237974651202087,0,inf
2043,2043,-71.02042326,-71.01658008,42.35875864,42.3620504,42.36040452,-71.01850167,0,0,1.2781027206733155,0,inf
2044,2044,-71.01658008,-71.01273690000001,42.35875864,42.3620504,42.36040452,-71.01465849,0,0,1.4426384618538732,0,inf
2045,2045,-71.01273690000001,-71.00889372,42.35875864,42.3620504,42.36040452,-71.01081531,0,0,1.6142794816241919,0,inf
2046,2046,-71.00889372,-71.00505054,42.35875864,42.3620504,42.36040452,-71.00697213000001,1,0,1.79098411451233,0,inf
2047,2047,-71.00505054,-71.00120736,42.35875864,42.3620504,42.36040452,-71.00312894999999,0,0,1.9713912095243848,0,inf
2048,2048,-71.00120736,-70.99736418,42.35875864,42.3620504,42.36040452,-70.99928577,0,0,2.1545709195010248,0,inf
2049,2049,-70.99736418,-70.993521,42.3620504,42.36534216,42.36369628,-70.99544259000001,0,0,2.2781500882234247,0,inf
2050,2050,-71.18568,-71.18183682,42.3620504,42.36534216,42.36369628,-71.18375841,0,0,1.971252449776409,0,inf
2051,2051,-71.18183682,-71.17799364000001,42.3620504,42.36534216,42.36369628,-71.17991523,0,0,1.805801868411336,0,inf
2052,2052,-71.17799364000001,-71.17415046,42.3620504,42.36534216,42.36369628,-71.17607205000002,0,0,1.6471371975016478,0,inf
2053,2053,-71.17415046,-71.17030728,42.3620504,42.36534216,42.36369628,-71.17222887,0,0,1.4974170800543996,0,inf
2054,2054,-71.17030728,-71.1664641,42.3620504,42.36534216,42.36369628,-71.16838569000001,0,0,1.3595996710827354,185,0.0
2055,2055,-71.1664641,-71.16262092000001,42.3620504,42.36534216,42.36369628,-71.16454251,0,0,1.2376675734069935,182,0.0
2056,2056,-71.16262092000001,-71.15877774,42.3620504,42.36534216,42.36369628,-71.16069933,0,0,1.1367441140490622,127,0.0
2057,2057,-71.15877774,-71.15493456,42.3620504,42.36534216,42.36369628,-71.15685615000001,0,0,1.0628309996145153,248,0.0
2058,2058,-71.15493456,-71.15109138000001,42.3620504,42.36534216,42.36369628,-71.15301297,0,0,1.0218065837236447,0,inf
2059,2059,-71.15109138000001,-71.1472482,42.3620504,42.36534216,42.36369628,-71.14916979,0,0,1.0176561546441891,0,inf
2060,2060,-71.1472482,-71.14340502,42.3620504,42.36534216,42.36369628,-71.14532661000001,0,4,1.0508167353451738,118,0.03389830508474576
2061,2061,-71.14340502,-71.13956184,42.3620504,42.36534216,42.36369628,-71.14148343,0,0,1.1179731514532554,434,0.0
2062,2062,-71.13956184,-71.13571866000001,42.3620504,42.36534216,42.36369628,-71.13764025,1,22,1.2134943475919469,727,0.030261348005502064
2063,2063,-71.13571866000001,-71.13187548,42.3620504,42.36534216,42.36369628,-71.13379707000001,1,3,1.3312886579184982,0,inf
2064,2064,-71.13187548,-71.1280323,42.3620504,42.36534216,42.36369628,-71.12995389,0,0,1.4659968776574195,308,0.0
2065,2065,-71.1280323,-71.12418912,42.3620504,42.36534216,42.36369628,-71.12611071,2,0,1.6133879271037197,184,0.0
2066,2066,-71.12418912,-71.12034594,42.3620504,42.36534216,42.36369628,-71.12226753,1,0,1.77029679966997,188,0.0
2067,2067,-71.12034594,-71.11650276,42.3620504,42.36534216,42.36369628,-71.11842435,0,0,1.9344087761894713,627,0.0
2068,2068,-71.11650276,-71.11265958,42.3620504,42.36534216,42.36369628,-71.11458117000001,0,0,2.1040390351143916,1415,0.0
2069,2069,-71.11265958,-71.10881640000001,42.3620504,42.36534216,42.36369628,-71.11073799,0,0,2.0291977372871672,90,0.0
